city_name,2015_pop
札幌市・小樽市,2362914
函館市,340489
旭川市,388701
室蘭市,189696
釧路市,205177
帯広市,263344
北見市,126326
苫小牧市,190477
千歳市,173498
青森市,310640
弘前市,291789
八戸市,324451
盛岡市,470414
仙台市,1612499
石巻市,193051
秋田市,397801
山形市,534571
鶴岡市,137380
酒田市,142117
福島市,451044
会津若松市,223807
郡山市,544662
いわき市,350237
水戸市,687734
日立市,349111
古河市,212776
つくば市・土浦市,843402
宇都宮市,1103745
栃木市,159211
小山市,218354
前橋市・高崎市,1263034
太田市・大泉町,613825
成田市,328796
東京,35303778
新潟市,1060013
長岡市,356767
三条市・燕市,215037
上越市,230186
富山市,1066328
金沢市,747780
福井市,646813
甲府市,586986
長野市,589549
松本市,447802
岐阜市,823219
大垣市,313740
静岡市,988056
浜松市,1129296
沼津市,497258
島田市,105304
富士市,387236
名古屋市・他,6871632
豊橋市,670144
豊田市,484352
蒲郡市,81100
津市,499709
四日市市,623210
伊勢市,183793
彦根市,135495
京都市・草津市,2801044
舞鶴市,94586
大阪,12078820
神戸市,2419973
姫路市,773389
和歌山市,569758
鳥取市,232610
米子市,231746
松江市,284790
岡山市,1526503
広島市,1431634
呉市,252891
福山市,753528
東広島市,219333
下関市,268517
宇部市,232100
山口市,313364
岩国市・大竹市,170907
周南市,267340
徳島市,659744
高松市,819327
松山市,637608
今治市,158114
新居浜市,228077
高知市,519390
北九州市,1314276
福岡市,2565501
大牟田市,234581
久留米市,431897
佐賀市,398217
長崎市,785108
佐世保市,298023
熊本市,1111596
八代市,157127
大分市,737936
宮崎市,502401
都城市,236290
延岡市,125159
鹿児島市,724236
那覇市・浦添市,830532
沖縄市,327550
