調査年,地域,C2207_従業者数（経済センサス‐基礎調査結果）【人】,C220848_従業者数（民営）（生活関連サービス業，娯楽業）【人】,C620118_付加価値額（民営）（生活関連サービス業，娯楽業）【百万円】,F2701_自市区町村で従業している就業者数【人】,F2702_県内他市区町村で従業している就業者数【人】,F2703_他県で従業している就業者数【人】
2016年度,北海道 札幌市,***,38382,***,***,***,***
2016年度,北海道 函館市,***,5950,***,***,***,***
2016年度,北海道 小樽市,***,3711,***,***,***,***
2016年度,北海道 旭川市,***,6027,***,***,***,***
2016年度,北海道 室蘭市,***,1398,***,***,***,***
2016年度,北海道 釧路市,***,3192,***,***,***,***
2016年度,北海道 帯広市,***,3528,***,***,***,***
2016年度,北海道 北見市,***,2069,***,***,***,***
2016年度,北海道 夕張市,***,104,***,***,***,***
2016年度,北海道 岩見沢市,***,1391,***,***,***,***
2016年度,北海道 網走市,***,615,***,***,***,***
2016年度,北海道 留萌市,***,377,***,***,***,***
2016年度,北海道 苫小牧市,***,4061,***,***,***,***
2016年度,北海道 稚内市,***,743,***,***,***,***
2016年度,北海道 美唄市,***,428,***,***,***,***
2016年度,北海道 芦別市,***,220,***,***,***,***
2016年度,北海道 江別市,***,1451,***,***,***,***
2016年度,北海道 赤平市,***,126,***,***,***,***
2016年度,北海道 紋別市,***,397,***,***,***,***
2016年度,北海道 士別市,***,285,***,***,***,***
2016年度,北海道 名寄市,***,478,***,***,***,***
2016年度,北海道 三笠市,***,143,***,***,***,***
2016年度,北海道 根室市,***,478,***,***,***,***
2016年度,北海道 千歳市,***,2328,***,***,***,***
2016年度,北海道 滝川市,***,782,***,***,***,***
2016年度,北海道 砂川市,***,341,***,***,***,***
2016年度,北海道 歌志内市,***,29,***,***,***,***
2016年度,北海道 深川市,***,413,***,***,***,***
2016年度,北海道 富良野市,***,362,***,***,***,***
2016年度,北海道 登別市,***,676,***,***,***,***
2016年度,北海道 恵庭市,***,1295,***,***,***,***
2016年度,北海道 伊達市,***,733,***,***,***,***
2016年度,北海道 北広島市,***,1745,***,***,***,***
2016年度,北海道 石狩市,***,1408,***,***,***,***
2016年度,北海道 北斗市,***,637,***,***,***,***
2016年度,青森県 青森市,***,5632,***,***,***,***
2016年度,青森県 弘前市,***,3612,***,***,***,***
2016年度,青森県 八戸市,***,5273,***,***,***,***
2016年度,青森県 黒石市,***,618,***,***,***,***
2016年度,青森県 五所川原市,***,1188,***,***,***,***
2016年度,青森県 十和田市,***,1465,***,***,***,***
2016年度,青森県 三沢市,***,916,***,***,***,***
2016年度,青森県 むつ市,***,1132,***,***,***,***
2016年度,青森県 つがる市,***,593,***,***,***,***
2016年度,青森県 平川市,***,607,***,***,***,***
2016年度,岩手県 盛岡市,***,7542,***,***,***,***
2016年度,岩手県 宮古市,***,766,***,***,***,***
2016年度,岩手県 大船渡市,***,699,***,***,***,***
2016年度,岩手県 花巻市,***,1642,***,***,***,***
2016年度,岩手県 北上市,***,1913,***,***,***,***
2016年度,岩手県 久慈市,***,621,***,***,***,***
2016年度,岩手県 遠野市,***,430,***,***,***,***
2016年度,岩手県 一関市,***,2012,***,***,***,***
2016年度,岩手県 陸前高田市,***,176,***,***,***,***
2016年度,岩手県 釜石市,***,499,***,***,***,***
2016年度,岩手県 二戸市,***,426,***,***,***,***
2016年度,岩手県 八幡平市,***,530,***,***,***,***
2016年度,岩手県 奥州市,***,2306,***,***,***,***
2016年度,岩手県 滝沢市,***,483,***,***,***,***
2016年度,宮城県 仙台市,***,22813,***,***,***,***
2016年度,宮城県 石巻市,***,1894,***,***,***,***
2016年度,宮城県 塩竈市,***,849,***,***,***,***
2016年度,宮城県 気仙沼市,***,958,***,***,***,***
