area,year,inside,out_in,outside
北海道 美唄市,2000年度,"12,045","1,935",13
北海道 芦別市,2000年度,"7,982","1,156",6
北海道 江別市,2000年度,"27,369","26,138",88
北海道 赤平市,2000年度,"5,206","1,265",4
北海道 紋別市,2000年度,"14,065",452,12
北海道 士別市,2000年度,"11,896",-,5
北海道 名寄市,2000年度,"15,672",-,2
北海道 三笠市,2000年度,"3,795","1,332",6
北海道 根室市,2000年度,"17,669",156,23
北海道 千歳市,2000年度,"39,218","5,922",25
北海道 滝川市,2000年度,"18,057","4,271",28
北海道 砂川市,2000年度,"6,842","2,680",14
北海道 歌志内市,2000年度,"1,334",843,6
北海道 深川市,2000年度,"12,325","1,328",4
北海道 富良野市,2000年度,"12,815",903,2
北海道 登別市,2000年度,"14,040","10,107",20
北海道 恵庭市,2000年度,"20,516","10,377",33
北海道 伊達市,2000年度,"12,954",-,17
北海道 北広島市,2000年度,"11,515","14,489",47
北海道 石狩市,2000年度,"14,558",-,24
北海道 北斗市,2000年度,"11,424",-,150
北海道 当別町,2000年度,"6,186","3,472",18
北海道 新篠津村,2000年度,"1,835",282,0
北海道 松前町,2000年度,"4,481",375,419
北海道 福島町,2000年度,"2,412",317,376
北海道 知内町,2000年度,"2,426",337,46
北海道 木古内町,2000年度,"2,219",672,99
北海道 七飯町,2000年度,"6,566","6,527",10
北海道 鹿部町,2000年度,"1,944",262,15
北海道 森町,2000年度,"8,482",-,61
北海道 八雲町,2000年度,"10,147",-,81
北海道 長万部町,2000年度,"3,575",266,2
北海道 江差町,2000年度,"4,722",614,1
北海道 上ノ国町,2000年度,"2,353",788,126
北海道 厚沢部町,2000年度,"2,218",433,6
北海道 乙部町,2000年度,"1,973",623,85
北海道 奥尻町,2000年度,"2,048",5,5
北海道 今金町,2000年度,"3,357",273,0
北海道 せたな町,2000年度,"4,981",-,23
北海道 島牧村,2000年度,977,107,0
北海道 寿都町,2000年度,"1,671",177,1
北海道 黒松内町,2000年度,"1,589",131,1
北海道 蘭越町,2000年度,"2,805",371,0
北海道 ニセコ町,2000年度,"1,975",386,3
北海道 真狩村,2000年度,"1,284",144,2
北海道 留寿都村,2000年度,"1,285",66,0
北海道 喜茂別町,2000年度,"1,215",310,1
北海道 京極町,2000年度,"1,698",298,1
北海道 倶知安町,2000年度,"8,003",729,2
北海道 共和町,2000年度,"2,502","1,233",5
北海道 岩内町,2000年度,"6,389","1,659",28
北海道 泊村,2000年度,694,162,1
北海道 神恵内村,2000年度,551,115,0
北海道 積丹町,2000年度,"1,346",306,1
北海道 古平町,2000年度,"2,001",364,5
北海道 仁木町,2000年度,"1,764",405,2
北海道 余市町,2000年度,"8,830","1,948",14
北海道 赤井川村,2000年度,822,71,0
北海道 南幌町,2000年度,"2,617","2,131",5
北海道 奈井江町,2000年度,"2,622",898,2
北海道 上砂川町,2000年度,"1,100",696,1
北海道 由仁町,2000年度,"2,968",691,1
北海道 長沼町,2000年度,"5,218","1,533",1
北海道 栗山町,2000年度,"6,215","1,349",4
北海道 月形町,2000年度,"2,041",243,0
北海道 浦臼町,2000年度,"1,189",207,1
北海道 新十津川町,2000年度,"2,779","1,260",11
北海道 妹背牛町,2000年度,"1,840",442,2
北海道 秩父別町,2000年度,"1,444",332,0
北海道 雨竜町,2000年度,"1,467",337,1
北海道 北竜町,2000年度,"1,237",169,0
北海道 沼田町,2000年度,"2,121",237,1
北海道 鷹栖町,2000年度,"2,129","1,667",3
北海道 東神楽町,2000年度,"2,213","1,814",4
北海道 当麻町,2000年度,"2,760","1,363",7
北海道 比布町,2000年度,"1,746",791,3
北海道 愛別町,2000年度,"1,802",398,0
北海道 上川町,2000年度,"3,143",128,1
北海道 東川町,2000年度,"2,781","1,400",2
北海道 美瑛町,2000年度,"5,459",719,10
北海道 上富良野町,2000年度,"6,219",812,8
北海道 中富良野町,2000年度,"2,435",753,3
北海道 南富良野町,2000年度,"1,567",104,0
北海道 占冠村,2000年度,"1,142",39,0
北海道 和寒町,2000年度,"2,398",210,1
北海道 剣淵町,2000年度,"2,010",300,1
北海道 下川町,2000年度,"1,987",232,2
北海道 美深町,2000年度,"2,926",206,1
北海道 音威子府村,2000年度,625,20,0
北海道 中川町,2000年度,"1,387",34,0
北海道 幌加内町,2000年度,"1,119",28,0
北海道 増毛町,2000年度,"2,556",584,5
北海道 小平町,2000年度,"2,005",376,3
北海道 苫前町,2000年度,"2,229",201,1
北海道 羽幌町,2000年度,"4,574",309,1
北海道 初山別村,2000年度,850,61,0
北海道 遠別町,2000年度,"1,961",96,0
北海道 天塩町,2000年度,"2,374",82,0
北海道 猿払村,2000年度,"1,585",37,0
北海道 浜頓別町,2000年度,"2,554",212,0
北海道 中頓別町,2000年度,"1,159",120,0
北海道 枝幸町,2000年度,"5,454",-,0
北海道 豊富町,2000年度,"2,704",167,0
北海道 礼文町,2000年度,"2,475",0,0
北海道 利尻町,2000年度,"2,018",73,0
北海道 利尻富士町,2000年度,"1,986",76,0
北海道 幌延町,2000年度,"1,526",73,1
北海道 美幌町,2000年度,"10,549","1,946",1
北海道 津別町,2000年度,"2,966",358,1
北海道 斜里町,2000年度,"7,404",354,0
北海道 清里町,2000年度,"2,518",264,0
